,_id,ltable_id,rtable_id,ltable_title,ltable_cast,ltable_directors,ltable_writers,ltable_genres,ltable_keywords,ltable_content_rating,ltable_languages,ltable_budget,ltable_revenue,ltable_opening_weekend_revenue,ltable_production_companies,ltable_production_countries,ltable_alternative_titles,rtable_title,rtable_cast,rtable_directors,rtable_writers,rtable_genres,rtable_keywords,rtable_content_rating,rtable_languages,rtable_budget,rtable_revenue,rtable_opening_weekend_revenue,rtable_production_companies,rtable_production_countries,rtable_alternative_titles
68,68,a87,b4511,War for the Planet of the Apes,Andy Serkis;Woody Harrelson;Steve Zahn;Karin Konoval;Amiah Miller,Matt Reeves,Mark Bomback;Matt Reeves,Action;Adventure;Drama;Sci-Fi;Thriller,ape;planet of the apes;third part;slave labour;battle,PG-13,English;American Sign Language,$150000000,$490664238,$56262929,Twentieth Century Fox;Chernin Entertainment;TSG Entertainment,USA;Canada;New Zealand,Planet of the Apes 3,Rise of the Planet of the Apes,James Franco;Freida Pinto;John Lithgow;Brian Cox;Tom Felton,Rupert Wyatt,Rick Jaffa;Amanda Silver;Pierre Boulle,Thriller;Action;Drama;Science Fiction,intelligence;zoo;cage;dystopia;golden gate bridge;ape;monkey;medical research;alzheimer's disease,PG-13,English,$93000000.00,$482860185.00,,,,
69,69,a87,b5289,War for the Planet of the Apes,Andy Serkis;Woody Harrelson;Steve Zahn;Karin Konoval;Amiah Miller,Matt Reeves,Mark Bomback;Matt Reeves,Action;Adventure;Drama;Sci-Fi;Thriller,ape;planet of the apes;third part;slave labour;battle,PG-13,English;American Sign Language,$150000000,$490664238,$56262929,Twentieth Century Fox;Chernin Entertainment;TSG Entertainment,USA;Canada;New Zealand,Planet of the Apes 3,Conquest of the Planet of the Apes,Roddy McDowall;Don Murray;Ricardo Montalban;Hari Rhodes;Severn Darden,J. Lee Thompson,Paul Dehn,Action;Science Fiction,circus;pet;human being;dystopia;insurrection;army;ape,PG,English,$1700000.00,$9700000.00,,,,
70,70,a95,b2003,Frozen,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Santino Fontana,Chris Buck;Jennifer Lee,Jennifer Lee;Hans Christian Andersen,Animation;Adventure;Comedy;Family;Fantasy;Musical,female protagonist;sister sister relationship;snowman;sister love;magic,PG,English;Norwegian,$150000000,$1276480335,$243390,Walt Disney Animation Studios;Walt Disney Pictures,USA,The Snow Queen,Frozen Fever,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Chris Williams,Jennifer Lee;Chris Buck,,Adventure;Animation;Family,sibling relationship;birthday;song;birthday party;princess;snowman;animation;reindeer;birthday cake;frozen;woman director;birthday present;short,G,English,-,-,,,,
71,71,a95,b2180,Frozen,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Santino Fontana,Chris Buck;Jennifer Lee,Jennifer Lee;Hans Christian Andersen,Animation;Adventure;Comedy;Family;Fantasy;Musical,female protagonist;sister sister relationship;snowman;sister love;magic,PG,English;Norwegian,$150000000,$1276480335,$243390,Walt Disney Animation Studios;Walt Disney Pictures,USA,The Snow Queen,Frozen,Emma Bell;Shawn Ashmore;Kevin Zegers;Ed Ackerman;Rileah Vanderbilt,Adam Green,Adam Green,Thriller,loss of loved one;mountain;winter;wolf;conversation;animal attack;cold;horror;fall from height;suspense;snow;best friend;ski lift;frostbite,R,English,-,$3065860.00,,,,
72,72,a97,b552,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Goblet of Fire,Daniel Radcliffe;Rupert Grint;Emma Watson;Ralph Fiennes;Michael Gambon,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,magic;dying and death;broom;sorcerer's apprentice;school of witchcraft;chosen one;black magic;boarding school;vision;tournament;teenager;wizard;teenage hero;based on young adult novel,PG-13,English,$150000000.00,$895921036.00,,,,
73,73,a97,b1366,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe;Rupert Grint;Emma Watson;Gary Oldman;David Thewlis,Alfonso Cuarón,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,flying;traitor;magic;cutting the cord;child hero;broom;sorcerer's apprentice;school of witchcraft;griffon;black magic;time travel;best friend;werewolf;dark;muggle;aftercreditsstinger,PG,English,$130000000.00,$789804554.00,,,,
74,74,a97,b3595,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Half-Blood Prince,Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton;Michael Gambon,David Yates,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,witch;magic;broom;school of witchcraft;apparition;teenage crush;werewolf;wizard,PG,English,$250000000.00,$933959197.00,,,,
75,75,a97,b3843,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Philosopher's Stone,Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris;Tom Felton,Chris Columbus,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,witch;christmas party;magic;cutting the cord;halloween;child hero;broom;chosen one;frog;fantasy world;based on young adult novel,PG,English,$125000000.00,$976475550.00,,,,
76,76,a97,b3892,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Chamber of Secrets,Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris;Alan Rickman,Chris Columbus,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,flying car;witch;magic;cutting the cord;child hero;broom;sorcerer's apprentice;school of witchcraft;giant spider;giant snake;black magic;aftercreditsstinger,PG,English,$100000000.00,$876688482.00,,,,
77,77,a106,b4197,The Deer Hunter,Robert De Niro;John Cazale;John Savage;Christopher Walken;Meryl Streep,Michael Cimino,Michael Cimino;Deric Washburn,Drama;War,pittsburgh steelers;vietnam war veteran;national film registry;afi;watching tv,R,English;Russian;Vietnamese;French,$15000000,,,EMI Films;Universal Pictures,USA;UK,The Man Who Came to Play,Killing Season,Robert De Niro;John Travolta;Milo Ventimiglia;Elizabeth Olin;Diana Lyubenova,Mark Steven Johnson,Evan Daugherty,Action;Thriller,hunter;bosnia and herzegovina;cabin;baptism;revenge;gore;blood;violence;hunting;war injury;bow hunting;ex special forces;anti war argument,R,English,-,$39881.00,,,,
78,78,a110,b5412,Iron Man,Robert Downey Jr.;Terrence Howard;Jeff Bridges;Gwyneth Paltrow;Leslie Bibb,Jon Favreau,Mark Fergus;Hawk Ostby,Action;Adventure;Sci-Fi,playboy;billionaire;inventor;afghanistan;u.s. air force,PG-13,English;Persian;Urdu;Arabic;Hungarian,$140000000,$585174222,$98618668,Paramount Pictures;Marvel Enterprises;Marvel Studios,USA,Ironman,Iron Man 2,Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;Scarlett Johansson;Mickey Rourke,Jon Favreau,Justin Theroux,Adventure;Action;Science Fiction,usa;technology;malibu;superhero;based on comic;revenge;tony stark;iron man;aftercreditsstinger;marvel cinematic universe,PG-13,English,$200000000.00,$623933331.00,,,,
79,79,a114,b890,The Matrix,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving;Gloria Foster,Lana Wachowski;Lilly Wachowski,Lilly Wachowski;Lana Wachowski,Action;Sci-Fi,artificial reality;simulated reality;post apocalypse;questioning reality;war with machines,R,English,$63000000,$463517383,$27788331,Warner Bros.;Village Roadshow Pictures;Groucho Film Partnership,USA,Matrix,The Matrix Reloaded,Keanu Reeves;Carrie-Anne Moss;Laurence Fishburne;Hugo Weaving;Helmut Bakaitis,Lana Wachowski;Lilly Wachowski,Lana Wachowski;Lilly Wachowski,Adventure;Action;Thriller;Science Fiction,saving the world;artificial intelligence;man vs machine;martial arts;kung fu;underground world;dream;hero;fight;computer virus;key;future;plato;precognition;rave;dying and death;virtual reality;dystopia;computer;faith;world religion;truth;car crash;mission;cyberpunk;gnosticism,R,English,$150000000.00,$738599701.00,,,,
80,80,a114,b4471,The Matrix,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving;Gloria Foster,Lana Wachowski;Lilly Wachowski,Lilly Wachowski;Lana Wachowski,Action;Sci-Fi,artificial reality;simulated reality;post apocalypse;questioning reality;war with machines,R,English,$63000000,$463517383,$27788331,Warner Bros.;Village Roadshow Pictures;Groucho Film Partnership,USA,Matrix,The Matrix Revolutions,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving;Mary Alice,Lana Wachowski;Lilly Wachowski,Lana Wachowski;Lilly Wachowski,Adventure;Action;Thriller;Science Fiction,saving the world;artificial intelligence;man vs machine;flying;philosophy;fortune teller;martial arts;kung fu;underground world;killer robot;temple;subway;dream;sun;hero;fight;sunlight;computer virus;key;future;precognition;super computer;machine town;ying yang;dying and death;virtual reality;dystopia;computer;faith;world religion;truth;rescue;mission;cyberpunk;yin yang;gnosticism,R,English,$150000000.00,$424988211.00,,,,
81,81,a116,b3883,The Lord of the Rings: The Return of the King,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Adventure;Drama;Fantasy,orc;battle;journey;hobbit;ring,PG-13,English;Quenya;Old English;Sindarin,$94000000,$1119929521,$72629713,New Line Cinema;WingNut Films;The Saul Zaentz Company,USA;New Zealand,The Return of the King,The Lord of the Rings: The Two Towers,Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler;Orlando Bloom,Peter Jackson,Peter Jackson;Philippa Boyens;Fran Walsh;J.R.R. Tolkien,Adventure;Fantasy;Action,elves;orcs;middle-earth (tolkien);hobbit;based on novel;explosive;cave;fort;army;mission;attack;guide;wizard;ring;sword and sorcery,PG-13,English,$79000000.00,$926287400.00,,,,
82,82,a116,b4410,The Lord of the Rings: The Return of the King,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Adventure;Drama;Fantasy,orc;battle;journey;hobbit;ring,PG-13,English;Quenya;Old English;Sindarin,$94000000,$1119929521,$72629713,New Line Cinema;WingNut Films;The Saul Zaentz Company,USA;New Zealand,The Return of the King,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood;Ian McKellen;Viggo Mortensen;Sean Astin;Orlando Bloom,Peter Jackson,Peter Jackson;Philippa Boyens;Fran Walsh;J.R.R. Tolkien,Adventure;Fantasy;Action,elves;dwarves;orcs;middle-earth (tolkien);hobbit;loss of loved one;based on novel;river;mountain;mine;fireworks;castle;volcano;birthday party;uncle;battle;mirror;blizzard;wizard;journey;ring;sword and sorcery,PG-13,English,$93000000.00,$871368364.00,,,,
83,83,a116,b5060,The Lord of the Rings: The Return of the King,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Adventure;Drama;Fantasy,orc;battle;journey;hobbit;ring,PG-13,English;Quenya;Old English;Sindarin,$94000000,$1119929521,$72629713,New Line Cinema;WingNut Films;The Saul Zaentz Company,USA;New Zealand,The Return of the King,The Return of the Living Dead,Clu Gulager;James Karen;Don Calfa;Thom Mathews;John Philbin,Dan O'Bannon,Dan O'Bannon;Rudy Ricci;Russell Streiner;John A. Russo,Comedy;Horror,crematorium;punk;company;undead;zombie;paramedic;attic;cemetary;warehouse;stairs;night of the living dead;walking dead;louisville,R,English,$4000000.00,$14237880.00,,,,
84,84,a122,b1852,Psycho,Anthony Perkins;Vera Miles;John Gavin;Janet Leigh;Martin Balsam,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Horror;Mystery;Thriller,motel;money;shower;theft;secretary,R,English,$806947,$50000000,,Shamley Productions,USA,Alfred Hitchcock's Psycho,Psycho,Vince Vaughn;Anne Heche;Julianne Moore;Viggo Mortensen;William H. Macy,Gus Van Sant,Joseph Stefano;Robert Bloch,Mystery;Thriller;Horror;Comedy,motel;stolen money;murder;psychosis;psycho,R,English,$60000000.00,$37141130.00,,,,
85,85,a122,b3073,Psycho,Anthony Perkins;Vera Miles;John Gavin;Janet Leigh;Martin Balsam,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Horror;Mystery;Thriller,motel;money;shower;theft;secretary,R,English,$806947,$50000000,,Shamley Productions,USA,Alfred Hitchcock's Psycho,Psycho II,Anthony Perkins;Vera Miles;Meg Tilly;Robert Loggia;Dennis Franz,Richard Franklin,Tom Holland,Horror;Mystery;Thriller,female nudity;parent child relationship;nudity;motel;psychopath;sequel;revenge;murder;suspense;gore;blood;voyeur,R,English,$5000000.00,$34725000.00,,,,
86,86,a131,b1258,Les Misérables,Hugh Jackman;Russell Crowe;Anne Hathaway;Amanda Seyfried;Sacha Baron Cohen,Tom Hooper,William Nicholson;Alain Boublil,Drama;History;Musical;Romance;War,rebellion;parole;barricade;france;prostitution,PG-13,English,$61000000,$441809770,$28027000,Working Title Films;Cameron Mackintosh Ltd.;Universal Pictures,UK;USA,Les Miz,Les Misérables,Liam Neeson;Geoffrey Rush;Uma Thurman;Claire Danes;Hans Matheson,Bille August,Victor Hugo;Rafael Yglesias,Crime;Drama;History;Romance,falsely accused;prisoner;blackmail;french revolution;motherly love,PG-13,English,-,$14096321.00,,,,
87,87,a133,b1366,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe;Rupert Grint;Emma Watson;Gary Oldman;David Thewlis,Alfonso Cuarón,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,flying;traitor;magic;cutting the cord;child hero;broom;sorcerer's apprentice;school of witchcraft;griffon;black magic;time travel;best friend;werewolf;dark;muggle;aftercreditsstinger,PG,English,$130000000.00,$789804554.00,,,,
88,88,a133,b1533,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe;Emma Watson;Rupert Grint;Ralph Fiennes;Helena Bonham Carter,David Yates,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,corruption;isolation;radio;magic;teleportation;bravery;tension;attack;werewolf,PG-13,English,$250000000.00,$954305868.00,,,,
89,89,a133,b3595,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Half-Blood Prince,Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton;Michael Gambon,David Yates,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,witch;magic;broom;school of witchcraft;apparition;teenage crush;werewolf;wizard,PG,English,$250000000.00,$933959197.00,,,,
90,90,a133,b3626,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe;Rupert Grint;Emma Watson;Alan Rickman;Maggie Smith,David Yates,Steve Kloves;J.K. Rowling,Family;Fantasy;Adventure,self sacrifice;magic;frog;sorcerer;school;wizard;3d,PG-13,English,$125000000.00,$1342000000.00,,,,
91,91,a133,b3843,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Philosopher's Stone,Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris;Tom Felton,Chris Columbus,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,witch;christmas party;magic;cutting the cord;halloween;child hero;broom;chosen one;frog;fantasy world;based on young adult novel,PG,English,$125000000.00,$976475550.00,,,,
92,92,a133,b3892,Harry Potter and the Goblet of Fire,Eric Sykes;Timothy Spall;David Tennant;Daniel Radcliffe;Emma Watson,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,tournament;wizard;magic;school of magic;heroism,PG-13,English;French,$150000000,$896911078,$102335066,Warner Bros.;Heyday Films;Patalex IV Productions Limited,UK;USA,Harry Potter and the Goblet of Fire: The IMAX Experience,Harry Potter and the Chamber of Secrets,Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris;Alan Rickman,Chris Columbus,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,flying car;witch;magic;cutting the cord;child hero;broom;sorcerer's apprentice;school of witchcraft;giant spider;giant snake;black magic;aftercreditsstinger,PG,English,$100000000.00,$876688482.00,,,,
93,93,a145,b1942,Die Hard,Bruce Willis;Bonnie Bedelia;Reginald VelJohnson;Paul Gleason;William Atherton,John McTiernan,Roderick Thorp;Jeb Stuart,Action;Thriller,hostage;one against many;christmas eve;christmas;terrorist,R,English;German;Italian,$28000000,$140767956,$601851,Twentieth Century Fox;Gordon Company;Silver Pictures,USA,Duro de matar,Die Hard 2,Bruce Willis;Bonnie Bedelia;William Atherton;Reginald VelJohnson;Franco Nero,Renny Harlin,Doug Richardson;Walter Wager;Steven E. de Souza,Action;Thriller,ambush;helicopter;journalist;based on novel;airport;hand grenade;fistfight;cop;sequel;snow;dulles international airport;shootout;officer involved shooting;terrorism;explosion;church;violence;sabotage;walkie talkie;swat team;air traffic control;commando unit;snowmobile,R,English,$70000000.00,$240031094.00,,,,
94,94,a147,b2550,Batman Begins,Christian Bale;Michael Caine;Liam Neeson;Katie Holmes;Gary Oldman,Christopher Nolan,Bob Kane;David S. Goyer,Action;Adventure;Thriller,social decay;well;deception;falling down a well;falling into a well,PG-13,English;Urdu;Mandarin,$150000000,$374218673,$48745440,Warner Bros.;Syncopy;DC Comics,USA;UK,Batman 5,The Dark Knight,Christian Bale;Michael Caine;Heath Ledger;Aaron Eckhart;Gary Oldman,Christopher Nolan,Christopher Nolan;David S. Goyer;Jonathan Nolan,Drama;Action;Crime;Thriller,dc comics;crime fighter;secret identity;scarecrow;sadism;chaos;gotham city;vigilante;joker;superhero;based on comic;tragic hero;organized crime;criminal mastermind;district attorney;super power;imax;super villain,PG-13,English,$185000000.00,$1004558444.00,,,,
95,95,a149,b899,Star Wars: Episode IV - A New Hope,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness,George Lucas,George Lucas,Action;Adventure;Fantasy;Sci-Fi,rebellion;empire;galactic war;princess;droid,PG,English,$11000000,$775398007,$1554475,Lucasfilm;Twentieth Century Fox,USA,A New Hope,Return of the Jedi,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Richard Marquand,George Lucas;George Lucas;Lawrence Kasdan,Adventure;Action;Science Fiction,sibling relationship;rebel;emperor;space battle;matter of life and death;spaceship;death star;jabba the hutt;ewoks;jedi;space opera,PG,English,$32350000.00,$572700000.00,,,,
96,96,a149,b3133,Star Wars: Episode IV - A New Hope,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness,George Lucas,George Lucas,Action;Adventure;Fantasy;Sci-Fi,rebellion;empire;galactic war;princess;droid,PG,English,$11000000,$775398007,$1554475,Lucasfilm;Twentieth Century Fox,USA,A New Hope,The Empire Strikes Back,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Irvin Kershner,Lawrence Kasdan;Leigh Brackett;George Lucas,Adventure;Action;Science Fiction,rebel;android;asteroid;space battle;snow storm;space colony;spaceship;lightsaber;jedi;good vs evil;rebellion;the force;space opera;stormtrooper;wookie;jedi master;jedi training;droid,PG,English,$18000000.00,$538400000.00,,,,
97,97,a150,b3532,Dracula,Gary Oldman;Winona Ryder;Anthony Hopkins;Keanu Reeves;Richard E. Grant,Francis Ford Coppola,Bram Stoker;James V. Hart,Horror,dracula;monster sex;vampire;horror movie remake;female vampire,R,English;Romanian;Greek;Bulgarian;Latin,$40000000,$215862692,$30521679,American Zoetrope;Columbia Pictures Corporation;Osiris Films,USA,Bram Stoker's Dracula,Dracula,Bela Lugosi;Helen Chandler;David Manners;Dwight Frye;Edward Van Sloan,Tod Browning,Louis Bromfield;Bram Stoker,Horror,transylvania;based on novel;monster;castle;vampire;dracula;spider;count;based on play or musical;undead;sanitarium;classic horror;lunatic,PG,English,$355000.00,-,,,,
98,98,a150,b4548,Dracula,Gary Oldman;Winona Ryder;Anthony Hopkins;Keanu Reeves;Richard E. Grant,Francis Ford Coppola,Bram Stoker;James V. Hart,Horror,dracula;monster sex;vampire;horror movie remake;female vampire,R,English;Romanian;Greek;Bulgarian;Latin,$40000000,$215862692,$30521679,American Zoetrope;Columbia Pictures Corporation;Osiris Films,USA,Bram Stoker's Dracula,Dracula,Peter Cushing;Christopher Lee;Michael Gough;Melissa Stribling;Carol Marsh,Terence Fisher,Jimmy Sangster;Bram Stoker,Horror,vampire;victim;vampire hunter;remake;gothic;cult film;hammer films,,English,$10000000.00,-,,,,
99,99,a151,b552,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe;Richard Griffiths;Pam Ferris;Fiona Shaw;Harry Melling,Alfonso Cuarón,J.K. Rowling;Steve Kloves,Adventure;Family;Fantasy;Mystery,magic;wizard;muggle;serial killer;traitor,PG,English,$130000000,$796688549,$93687367,Warner Bros.;1492 Pictures;Heyday Films,UK;USA,Harry Potter and the Prisoner of Azkaban: The IMAX Experience,Harry Potter and the Goblet of Fire,Daniel Radcliffe;Rupert Grint;Emma Watson;Ralph Fiennes;Michael Gambon,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,magic;dying and death;broom;sorcerer's apprentice;school of witchcraft;chosen one;black magic;boarding school;vision;tournament;teenager;wizard;teenage hero;based on young adult novel,PG-13,English,$150000000.00,$895921036.00,,,,
